"","fish_id","birth_year","month_capture","year_capture","fish_length_mm","age","rad4","weight"
"1","Ba001",2008,"October",2008,186,0,1.604647087,101.8
"2","Ba005",2008,"October",2008,183,0,1.55653237,92.3
"3","Ba006",2008,"October",2008,198,0,1.609836049,120
"4","Ba007",2008,"October",2008,202,0,1.569725794,154.3
"5","Ba010",2008,"October",2008,199,0,1.606796199,119.6
"6","Ba014",2008,"October",2008,195,0,1.666668438,107.1
"7","Ba015",2008,"October",2008,187,0,1.467372331,118.2
"8","Ba016",2008,"October",2008,195,0,1.698967402,128.8
"9","Ba017",2008,"October",2008,193,0,1.539805322,105.2
"10","Ba019",2008,"October",2008,181,0,1.463498934,79.9
"11","Ba020",2008,"October",2008,192,0,1.534217515,113.3
"12","Ba025",2008,"October",2008,190,0,1.400922307,112.7
"13","Ba031",2010,"October",2010,160,0,1.324631607,60.1
"14","Ba032",2010,"October",2010,150,0,1.178617111,47.6
"15","Ba033",2010,"October",2010,165,0,1.396585486,67.2
"16","Ba034",2010,"October",2010,173,0,1.508836607,66.4
"17","Ba035",2010,"October",2010,165,0,1.317351115,63.7
"18","Ba038",2010,"October",2010,144,0,1.176024983,42
"19","Ba039",2010,"October",2010,171,0,1.485235437,74
"20","Ba040",2010,"October",2010,164,0,1.402260712,60
"21","Ba041",2010,"October",2010,161,0,1.354749993,63.3
"22","Ba042",2010,"October",2010,175,0,1.45638891,86.4
"23","Ba043",2010,"October",2010,175,0,1.454231609,75.6
"24","Ba044",2010,"October",2010,171,0,1.370835052,72.7
"25","Ba045",2010,"October",2010,167,0,1.497185428,70.1
"26","Ba046",2010,"October",2010,177,0,1.365445967,74.5
"27","Ba048",2011,"December",2011,198,0,1.545840371,110.9
"28","Ba050",2011,"December",2011,187,0,1.147898921,86.3
"29","Ba051",2011,"December",2011,191,0,1.361326895,94.4
"30","Ba052",2011,"December",2011,199,0,1.579420946,106
"31","Ba053",2011,"December",2011,185,0,1.352320954,82.7
"32","Ba054",2011,"December",2011,191,0,1.418237189,96.6
"33","Ba055",2011,"December",2011,203,0,1.537422789,114.1
"34","Ba056",2011,"December",2011,204,0,1.173586542,115.9
"35","Ba057",2011,"December",2011,190,0,1.38992509,89.6
