"","Group.2","Group.3","x","season"
"1",2002,"bages",22.0666666666667,"S"
"2",2003,"bages",26.68,"S"
"3",2004,"bages",23.5266666666667,"S"
"4",2005,"bages",23.9866666666667,"S"
"5",2006,"bages",24.4766666666667,"S"
"6",2007,"bages",22.2861111111111,"S"
"7",2008,"bages",21.3314814814815,"S"
"8",2009,"bages",24.2277777777778,"S"
"9",2010,"bages",22.7292592592593,"S"
"10",2011,"bages",23.0861111111111,"S"
"11",2012,"bages",22.875,"S"
"12",2002,"mauguio",22.92,"S"
"13",2003,"mauguio",26.6333333333333,"S"
"14",2004,"mauguio",25.1822222222222,"S"
"15",2005,"mauguio",24.2533333333333,"S"
"16",2006,"mauguio",25.0422222222222,"S"
"17",2007,"mauguio",21.6888888888889,"S"
"18",2008,"mauguio",23.3388888888889,"S"
"19",2009,"mauguio",25.2555555555556,"S"
"20",2010,"mauguio",22.7111111111111,"S"
"21",2011,"mauguio",24.0222222222222,"S"
"22",2012,"mauguio",23.8777777777778,"S"
"23",2002,"med",19.4677485966667,"S"
"24",2003,"med",21.55599521,"S"
"25",2004,"med",20.2378925333333,"S"
"26",2005,"med",20.54485515,"S"
"27",2006,"med",20.3250259233333,"S"
"28",2007,"med",20.4790245666667,"S"
"29",2008,"med",20.1996657633333,"S"
"30",2009,"med",21.03980054,"S"
"31",2010,"med",20.44890338,"S"
"32",2011,"med",20.3925479133333,"S"
"33",2012,"med",20.3694006233333,"S"
"34",2002,"salses",22.4444444444444,"S"
"35",2003,"salses",24.9333333333333,"S"
"36",2004,"salses",22.3611111111111,"S"
"37",2005,"salses",23.0804487179487,"S"
"38",2006,"salses",23.4669444444444,"S"
"39",2007,"salses",22.6225854700855,"S"
"40",2008,"salses",23.1183261183261,"S"
"41",2009,"salses",23.5430555555556,"S"
"42",2010,"salses",21.7390740740741,"S"
"43",2011,"salses",22.7476851851852,"S"
"44",2012,"salses",23.2788888888889,"S"
"45",2002,"thau",22.9907407407407,"S"
"46",2003,"thau",26.55,"S"
"47",2004,"thau",23.1055555555556,"S"
"48",2005,"thau",22.5680672268908,"S"
"49",2006,"thau",24.6493230625584,"S"
"50",2007,"thau",22.6829131652661,"S"
"51",2008,"thau",22.2767787114846,"S"
"52",2009,"thau",24.7645689386866,"S"
"53",2010,"thau",23.808274684874,"S"
"54",2011,"thau",22.8737885154062,"S"
"55",2012,"thau",23.7514400632048,"S"
