"","fish.id","age","lagoon","year.capture","month.capture","edge","birth","t","annuli_num","OL.t","OL.t1","OL.tNeg1","med_year_t","comb","annualT","winterT","growthT","summerT","lagoonT","avgLagT","shallowT","deepT"
"1","M026",2,"med",2008,"January","Opaque",2006,2006,1,1.430026417,1.73460499,0,"med_2006","med_2006",16.7062784025,13.559240758,18.9541624342857,20.3250259233333,20.3250259233333,24.4087890989729,24.7594444444444,24.0581337535014
"2","M026",2,"med",2008,"January","Opaque",2006,2007,2,1.73460499,NA,1.430026417,"med_2007","med_2007",16.7052226016667,13.7193799,18.8379673885714,20.4790245666667,20.4790245666667,22.3201246588379,21.9875,22.6527493176758
"3","M027",2,"med",2008,"January","Opaque",2006,2006,1,1.493600868,2.075765554,0,"med_2006","med_2006",16.7062784025,13.559240758,18.9541624342857,20.3250259233333,20.3250259233333,24.4087890989729,24.7594444444444,24.0581337535014
"4","M027",2,"med",2008,"January","Opaque",2006,2007,2,2.075765554,NA,1.493600868,"med_2007","med_2007",16.7052226016667,13.7193799,18.8379673885714,20.4790245666667,20.4790245666667,22.3201246588379,21.9875,22.6527493176758
"5","M028",2,"med",2008,"January","Opaque",2006,2006,1,1.4225545,1.86120122,0,"med_2006","med_2006",16.7062784025,13.559240758,18.9541624342857,20.3250259233333,20.3250259233333,24.4087890989729,24.7594444444444,24.0581337535014
"6","M028",2,"med",2008,"January","Opaque",2006,2007,2,1.86120122,NA,1.4225545,"med_2007","med_2007",16.7052226016667,13.7193799,18.8379673885714,20.4790245666667,20.4790245666667,22.3201246588379,21.9875,22.6527493176758
"7","M029",2,"med",2008,"January","Opaque",2006,2006,1,1.550569115,1.933226968,0,"med_2006","med_2006",16.7062784025,13.559240758,18.9541624342857,20.3250259233333,20.3250259233333,24.4087890989729,24.7594444444444,24.0581337535014
"8","M029",2,"med",2008,"January","Opaque",2006,2007,2,1.933226968,NA,1.550569115,"med_2007","med_2007",16.7052226016667,13.7193799,18.8379673885714,20.4790245666667,20.4790245666667,22.3201246588379,21.9875,22.6527493176758
"9","M030",2,"med",2008,"January","Opaque",2006,2006,1,1.468345007,1.855833365,0,"med_2006","med_2006",16.7062784025,13.559240758,18.9541624342857,20.3250259233333,20.3250259233333,24.4087890989729,24.7594444444444,24.0581337535014
"10","M030",2,"med",2008,"January","Opaque",2006,2007,2,1.855833365,NA,1.468345007,"med_2007","med_2007",16.7052226016667,13.7193799,18.8379673885714,20.4790245666667,20.4790245666667,22.3201246588379,21.9875,22.6527493176758
"11","M031",5,"med",2008,"February","Opaque",2003,2003,1,1.389268437,1.769490858,0,"med_2003","med_2003",17.21187078,13.756118252,19.6802654428571,21.55599521,21.55599521,26.1991666666667,26.6566666666667,25.7416666666667
"12","M031",5,"med",2008,"February","Opaque",2003,2004,2,1.769490858,2.006212336,1.389268437,"med_2004","med_2004",16.4490078908333,13.555410096,18.5158634585714,20.2378925333333,20.2378925333333,23.5438888888889,24.3544444444444,22.7333333333333
"13","M031",5,"med",2008,"February","Opaque",2003,2005,3,2.006212336,2.119277286,1.769490858,"med_2005","med_2005",16.51457726,13.48520655,18.6784134814286,20.54485515,20.54485515,23.4721289862099,24.12,22.8242579724197
"14","M031",5,"med",2008,"February","Opaque",2003,2006,4,2.119277286,2.319854591,2.006212336,"med_2006","med_2006",16.7062784025,13.559240758,18.9541624342857,20.3250259233333,20.3250259233333,24.4087890989729,24.7594444444444,24.0581337535014
